movie_id,title,genre,language,mood,rating,popularity,year
1,Toy Story (1995),Adventure,English,General,3.89743756974941,68997,1995
2,Jumanji (1995),Adventure,English,General,3.27575768059784,28904,1995
3,Grumpier Old Men (1995),Comedy,English,Feel-Good,3.1394472361809,13134,1995
4,Waiting to Exhale (1995),Comedy,English,Feel-Good,2.84533143264433,2806,1995
5,Father of the Bride Part II (1995),Comedy,English,Feel-Good,3.05960164208606,13154,1995
6,Heat (1995),Action,English,Mass,3.86827738216345,29490,1995
7,Sabrina (1995),Comedy,English,Feel-Good,3.36396761133603,13585,1995
8,Tom and Huck (1995),Adventure,English,General,3.11556291390728,1510,1995
9,Sudden Death (1995),Action,English,Mass,2.98772267693789,4154,1995
10,GoldenEye (1995),Action,English,Mass,3.42784997228552,32474,1995
11,"American President, The (1995)",Comedy,English,Feel-Good,3.65716003555184,19127,1995
12,Dracula: Dead and Loving It (1995),Comedy,English,Feel-Good,2.64913104744011,4258,1995
13,Balto (1995),Adventure,English,General,3.35405790223066,2107,1995
14,Nixon (1995),Drama,English,Emotional,3.42830281229562,6116,1995
15,Cutthroat Island (1995),Action,English,Mass,2.73088092933204,3099,1995
16,Casino (1995),Crime,English,General,3.83834873082788,22298,1995
17,Sense and Sensibility (1995),Drama,English,Emotional,3.94512606175003,22251,1995
18,Four Rooms (1995),Comedy,English,Feel-Good,3.40348893555161,6191,1995
19,Ace Ventura: When Nature Calls (1995),Comedy,English,Feel-Good,2.66391001649966,24849,1995
20,Money Train (1995),Action,English,Mass,2.87145843009754,4306,1995
21,Get Shorty (1995),Comedy,English,Feel-Good,3.56508518264932,24829,1995
22,Copycat (1995),Crime,English,General,3.31588640108559,10317,1995
23,Assassins (1995),Action,English,Mass,3.15041339834641,4717,1995
24,Powder (1995),Drama,English,Emotional,3.18606053297962,8293,1995
25,Leaving Las Vegas (1995),Drama,English,Emotional,3.6761820199778,22525,1995
26,Othello (1995),Drama,English,Emotional,3.60795860099929,2802,1995
27,Now and Then (1995),Children,English,General,3.41259711431743,1802,1995
28,Persuasion (1995),Drama,English,Emotional,4.04123867069486,3310,1995
29,"City of Lost Children, The (Cit̩ des enfants perdus, La) (1995)",Adventure,English,General,3.9298842026984,9413,1995
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime,English,General,3.62961538461538,1300,1995
31,Dangerous Minds (1995),Drama,English,Emotional,3.24117186735792,10223,1995
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery,English,General,3.91018543645409,55275,1995
33,Wings of Courage (1995),Adventure,English,General,3.01492537313433,67,1995
34,Babe (1995),Children,English,General,3.58693597264311,35969,1995
35,Carrington (1995),Drama,English,Emotional,3.48530394121577,1497,1995
36,Dead Man Walking (1995),Crime,English,General,3.92056160669148,21759,1995
37,Across the Sea of Time (1995),Documentary,English,General,2.98235294117647,85,1995
38,It Takes Two (1995),Children,English,General,2.91933333333333,750,1995
39,Clueless (1995),Comedy,English,Feel-Good,3.42902403971779,30616,1995
40,"Cry, the Beloved Country (1995)",Drama,English,Emotional,3.62840909090909,880,1995
41,Richard III (1995),Drama,English,Emotional,3.83623949579832,4760,1995
42,Dead Presidents (1995),Action,English,Mass,3.04380841121495,2568,1995
43,Restoration (1995),Drama,English,Emotional,3.45839813374806,2572,1995
44,Mortal Kombat (1995),Action,English,Mass,2.66919500856374,12261,1995
45,To Die For (1995),Comedy,English,Feel-Good,3.37851923490221,9306,1995
46,How to Make an American Quilt (1995),Drama,English,Emotional,3.26785152563699,3179,1995
47,Seven (a.k.a. Se7en) (1995),Mystery,English,General,4.08719864766659,63298,1995
48,Pocahontas (1995),Animation,English,Feel-Good,2.9902342503351,15667,1995
49,When Night Is Falling (1995),Drama,English,Emotional,3.52851711026616,263,1995
50,"Usual Suspects, The (1995)",Crime,English,General,4.26507011070111,67750,1995
52,Mighty Aphrodite (1995),Comedy,English,Feel-Good,3.52663374658542,9518,1995
53,Lamerica (1994),Adventure,English,General,3.67924528301887,159,1994
54,"Big Green, The (1995)",Children,English,General,2.81598864711448,1057,1995
